Area;MTU;Hydro - Actual Aggregated [MW];Nuclear  - Actual Aggregated [MW];Other renewable  - Actual Aggregated [MW];Solar  - Actual Aggregated [MW];Wind - Actual Aggregated [MW]
BZN|ES;06.03.2021 04:00 - 06.03.2021 05:00 (CET);5632;7114;101;15;7520
BZN|ES;06.03.2021 05:00 - 06.03.2021 06:00 (CET);5574;7113;101;15;7014
BZN|ES;06.03.2021 06:00 - 06.03.2021 07:00 (CET);5080;7113;101;14;6688
BZN|ES;06.03.2021 07:00 - 06.03.2021 08:00 (CET);5653;7113;102;24;6365
BZN|ES;06.03.2021 08:00 - 06.03.2021 09:00 (CET);6596;7113;105;677;5785
BZN|ES;06.03.2021 09:00 - 06.03.2021 10:00 (CET);6692;7114;110;2599;5027
BZN|ES;06.03.2021 10:00 - 06.03.2021 11:00 (CET);6460;7114;110;4057;4682
BZN|ES;06.03.2021 11:00 - 06.03.2021 12:00 (CET);6809;7112;111;5076;4334
BZN|ES;06.03.2021 12:00 - 06.03.2021 13:00 (CET);6786;7111;110;5562;3787
BZN|ES;06.03.2021 13:00 - 06.03.2021 14:00 (CET);6300;7112;111;5527;3532
BZN|ES;06.03.2021 14:00 - 06.03.2021 15:00 (CET);6550;7112;110;4935;3397
BZN|ES;06.03.2021 15:00 - 06.03.2021 16:00 (CET);6913;7112;110;4185;3494
BZN|ES;06.03.2021 16:00 - 06.03.2021 17:00 (CET);6211;7114;111;3500;3748
BZN|ES;06.03.2021 17:00 - 06.03.2021 18:00 (CET);6671;7114;112;2326;4065
BZN|ES;06.03.2021 18:00 - 06.03.2021 19:00 (CET);7974;7113;108;886;4477
BZN|ES;06.03.2021 19:00 - 06.03.2021 20:00 (CET);8281;7115;110;241;5148
BZN|ES;06.03.2021 20:00 - 06.03.2021 21:00 (CET);7427;7115;109;134;5832
BZN|ES;06.03.2021 21:00 - 06.03.2021 22:00 (CET);7430;7116;107;83;5815
BZN|ES;06.03.2021 22:00 - 06.03.2021 23:00 (CET);7257;7114;106;58;5345
BZN|ES;06.03.2021 23:00 - 07.03.2021 00:00 (CET);6855;7110;107;54;4880
BZN|ES;07.03.2021 00:00 - 07.03.2021 01:00 (CET);6431;7113;105;17;4421
BZN|ES;07.03.2021 01:00 - 07.03.2021 02:00 (CET);6245;7112;105;17;4137
BZN|ES;07.03.2021 02:00 - 07.03.2021 03:00 (CET);5854;7112;103;17;3883
BZN|ES;07.03.2021 03:00 - 07.03.2021 04:00 (CET);5464;7114;100;17;3716
