Time (CET);Imports;Exports
31.05.2021 08:00 - 31.05.2021 09:00;3594;539
31.05.2021 09:00 - 31.05.2021 10:00;3538;0
31.05.2021 10:00 - 31.05.2021 11:00;3409;540
31.05.2021 11:00 - 31.05.2021 12:00;3198;691
31.05.2021 12:00 - 31.05.2021 13:00;3340;985
31.05.2021 13:00 - 31.05.2021 14:00;3236;1285
31.05.2021 14:00 - 31.05.2021 15:00;3137;1788
31.05.2021 15:00 - 31.05.2021 16:00;3155;2371
31.05.2021 16:00 - 31.05.2021 17:00;2842;2303
31.05.2021 17:00 - 31.05.2021 18:00;2654;1969
31.05.2021 18:00 - 31.05.2021 19:00;2700;1577
31.05.2021 19:00 - 31.05.2021 20:00;2905;1389
31.05.2021 20:00 - 31.05.2021 21:00;2887;191
31.05.2021 21:00 - 31.05.2021 22:00;4175;0
31.05.2021 22:00 - 31.05.2021 23:00;3163;0
31.05.2021 23:00 - 01.06.2021 00:00;2820;1037
01.06.2021 00:00 - 01.06.2021 01:00;2316;1056
01.06.2021 01:00 - 01.06.2021 02:00;2339;1544
01.06.2021 02:00 - 01.06.2021 03:00;2334;1469
01.06.2021 03:00 - 01.06.2021 04:00;2322;1369
01.06.2021 04:00 - 01.06.2021 05:00;2703;1105
01.06.2021 05:00 - 01.06.2021 06:00;2612;595
01.06.2021 06:00 - 01.06.2021 07:00;2607;426
01.06.2021 07:00 - 01.06.2021 08:00;2964;1113
01.06.2021 08:00 - 01.06.2021 09:00;3119;1658
01.06.2021 09:00 - 01.06.2021 10:00;3022;852
01.06.2021 10:00 - 01.06.2021 11:00;2978;935
01.06.2021 11:00 - 01.06.2021 12:00;2970;1070
01.06.2021 12:00 - 01.06.2021 13:00;3162;492
01.06.2021 13:00 - 01.06.2021 14:00;2947;1351
01.06.2021 14:00 - 01.06.2021 15:00;2932;1752
01.06.2021 15:00 - 01.06.2021 16:00;2717;2255
01.06.2021 16:00 - 01.06.2021 17:00;1380;2666
01.06.2021 17:00 - 01.06.2021 18:00;1484;2668
01.06.2021 18:00 - 01.06.2021 19:00;2165;3093
01.06.2021 19:00 - 01.06.2021 20:00;2931;4278
01.06.2021 20:00 - 01.06.2021 21:00;3014;1808
01.06.2021 21:00 - 01.06.2021 22:00;3591;0
01.06.2021 22:00 - 01.06.2021 23:00;3348;1176
01.06.2021 23:00 - 02.06.2021 00:00;3078;3647
02.06.2021 00:00 - 02.06.2021 01:00;2932;3389
02.06.2021 01:00 - 02.06.2021 02:00;2908;3263
02.06.2021 02:00 - 02.06.2021 03:00;2789;3233
02.06.2021 03:00 - 02.06.2021 04:00;2755;3137
02.06.2021 04:00 - 02.06.2021 05:00;2857;2969
02.06.2021 05:00 - 02.06.2021 06:00;2884;3276
02.06.2021 06:00 - 02.06.2021 07:00;2822;2591
02.06.2021 07:00 - 02.06.2021 08:00;3560;2660
02.06.2021 08:00 - 02.06.2021 09:00;3692;2709
02.06.2021 09:00 - 02.06.2021 10:00;2918;2900
02.06.2021 10:00 - 02.06.2021 11:00;2843;1579
02.06.2021 11:00 - 02.06.2021 12:00;2759;2953
02.06.2021 12:00 - 02.06.2021 13:00;2744;2174
02.06.2021 13:00 - 02.06.2021 14:00;2585;1866
02.06.2021 14:00 - 02.06.2021 15:00;2496;2210
02.06.2021 15:00 - 02.06.2021 16:00;2138;1998
02.06.2021 16:00 - 02.06.2021 17:00;2194;2034
02.06.2021 17:00 - 02.06.2021 18:00;2197;1474
02.06.2021 18:00 - 02.06.2021 19:00;2174;1257
02.06.2021 19:00 - 02.06.2021 20:00;2251;1236
02.06.2021 20:00 - 02.06.2021 21:00;2683;392
02.06.2021 21:00 - 02.06.2021 22:00;2918;0
02.06.2021 22:00 - 02.06.2021 23:00;2572;236
02.06.2021 23:00 - 03.06.2021 00:00;2447;810
03.06.2021 00:00 - 03.06.2021 01:00;2074;0
03.06.2021 01:00 - 03.06.2021 02:00;2053;134
03.06.2021 02:00 - 03.06.2021 03:00;2002;0
03.06.2021 03:00 - 03.06.2021 04:00;1989;62
03.06.2021 04:00 - 03.06.2021 05:00;2196;125
03.06.2021 05:00 - 03.06.2021 06:00;2433;0
03.06.2021 06:00 - 03.06.2021 07:00;2700;0
03.06.2021 07:00 - 03.06.2021 08:00;3641;0
03.06.2021 08:00 - 03.06.2021 09:00;3622;0
03.06.2021 09:00 - 03.06.2021 10:00;2632;228
03.06.2021 10:00 - 03.06.2021 11:00;2725;677
03.06.2021 11:00 - 03.06.2021 12:00;2752;1293
03.06.2021 12:00 - 03.06.2021 13:00;2703;914
03.06.2021 13:00 - 03.06.2021 14:00;2716;1385
03.06.2021 14:00 - 03.06.2021 15:00;2551;1245
03.06.2021 15:00 - 03.06.2021 16:00;2609;1869
03.06.2021 16:00 - 03.06.2021 17:00;2422;2164
03.06.2021 17:00 - 03.06.2021 18:00;1799;897
03.06.2021 18:00 - 03.06.2021 19:00;790;0
03.06.2021 19:00 - 03.06.2021 20:00;852;37
03.06.2021 20:00 - 03.06.2021 21:00;2445;158
03.06.2021 21:00 - 03.06.2021 22:00;3490;0
03.06.2021 22:00 - 03.06.2021 23:00;2867;687
03.06.2021 23:00 - 04.06.2021 00:00;2421;1738
04.06.2021 00:00 - 04.06.2021 01:00;3179;271
04.06.2021 01:00 - 04.06.2021 02:00;2928;0
04.06.2021 02:00 - 04.06.2021 03:00;2901;0
04.06.2021 03:00 - 04.06.2021 04:00;2774;0
04.06.2021 04:00 - 04.06.2021 05:00;3207;0
04.06.2021 05:00 - 04.06.2021 06:00;3233;0
04.06.2021 06:00 - 04.06.2021 07:00;3887;2109
04.06.2021 07:00 - 04.06.2021 08:00;4536;2397
04.06.2021 08:00 - 04.06.2021 09:00;4490;2534
04.06.2021 09:00 - 04.06.2021 10:00;3404;2616
04.06.2021 10:00 - 04.06.2021 11:00;3284;2562
04.06.2021 11:00 - 04.06.2021 12:00;2892;2037
04.06.2021 12:00 - 04.06.2021 13:00;2951;2128
04.06.2021 13:00 - 04.06.2021 14:00;2837;2516
04.06.2021 14:00 - 04.06.2021 15:00;2513;2832
04.06.2021 15:00 - 04.06.2021 16:00;2722;3549
04.06.2021 16:00 - 04.06.2021 17:00;1567;3263
04.06.2021 17:00 - 04.06.2021 18:00;928;3216
04.06.2021 18:00 - 04.06.2021 19:00;0;2726
04.06.2021 19:00 - 04.06.2021 20:00;987;2598
04.06.2021 20:00 - 04.06.2021 21:00;1859;2609
04.06.2021 21:00 - 04.06.2021 22:00;2848;2678
04.06.2021 22:00 - 04.06.2021 23:00;2051;2917
04.06.2021 23:00 - 05.06.2021 00:00;1978;3302
05.06.2021 00:00 - 05.06.2021 01:00;2048;2989
05.06.2021 01:00 - 05.06.2021 02:00;1956;3431
05.06.2021 02:00 - 05.06.2021 03:00;1944;3585
05.06.2021 03:00 - 05.06.2021 04:00;1992;3532
05.06.2021 04:00 - 05.06.2021 05:00;2306;3875
05.06.2021 05:00 - 05.06.2021 06:00;2373;3551
05.06.2021 06:00 - 05.06.2021 07:00;2328;2620
05.06.2021 07:00 - 05.06.2021 08:00;2291;2098
05.06.2021 08:00 - 05.06.2021 09:00;2697;1976
05.06.2021 09:00 - 05.06.2021 10:00;2813;2030
05.06.2021 10:00 - 05.06.2021 11:00;2767;2024
05.06.2021 11:00 - 05.06.2021 12:00;2519;1808
05.06.2021 12:00 - 05.06.2021 13:00;2884;1743
05.06.2021 13:00 - 05.06.2021 14:00;2866;900
05.06.2021 14:00 - 05.06.2021 15:00;2664;457
05.06.2021 15:00 - 05.06.2021 16:00;2436;981
05.06.2021 16:00 - 05.06.2021 17:00;2639;810
05.06.2021 17:00 - 05.06.2021 18:00;2772;680
05.06.2021 18:00 - 05.06.2021 19:00;1508;2298
05.06.2021 19:00 - 05.06.2021 20:00;2195;2630
05.06.2021 20:00 - 05.06.2021 21:00;2862;2513
05.06.2021 21:00 - 05.06.2021 22:00;4200;2317
05.06.2021 22:00 - 05.06.2021 23:00;3529;2687
05.06.2021 23:00 - 06.06.2021 00:00;2341;2798
06.06.2021 00:00 - 06.06.2021 01:00;2509;3055
06.06.2021 01:00 - 06.06.2021 02:00;2497;3241
06.06.2021 02:00 - 06.06.2021 03:00;2533;3551
06.06.2021 03:00 - 06.06.2021 04:00;2308;3872
06.06.2021 04:00 - 06.06.2021 05:00;2276;3024
06.06.2021 05:00 - 06.06.2021 06:00;2356;3416
06.06.2021 06:00 - 06.06.2021 07:00;2338;4569
06.06.2021 07:00 - 06.06.2021 08:00;2323;4795
06.06.2021 08:00 - 06.06.2021 09:00;2480;5130
06.06.2021 09:00 - 06.06.2021 10:00;2389;5950
06.06.2021 10:00 - 06.06.2021 11:00;2491;5552
06.06.2021 11:00 - 06.06.2021 12:00;2350;3819
06.06.2021 12:00 - 06.06.2021 13:00;2624;4060
06.06.2021 13:00 - 06.06.2021 14:00;2697;3628
06.06.2021 14:00 - 06.06.2021 15:00;2587;3603
06.06.2021 15:00 - 06.06.2021 16:00;2736;3770
06.06.2021 16:00 - 06.06.2021 17:00;2287;3678
06.06.2021 17:00 - 06.06.2021 18:00;1811;3449
06.06.2021 18:00 - 06.06.2021 19:00;1303;5449
06.06.2021 19:00 - 06.06.2021 20:00;167;4615
06.06.2021 20:00 - 06.06.2021 21:00;1807;3922
06.06.2021 21:00 - 06.06.2021 22:00;3092;871
06.06.2021 22:00 - 06.06.2021 23:00;3213;1383
06.06.2021 23:00 - 07.06.2021 00:00;2895;2521
07.06.2021 00:00 - 07.06.2021 01:00;2702;3004
07.06.2021 01:00 - 07.06.2021 02:00;2575;2193
07.06.2021 02:00 - 07.06.2021 03:00;2621;2457
07.06.2021 03:00 - 07.06.2021 04:00;2714;2178
07.06.2021 04:00 - 07.06.2021 05:00;2716;1905
07.06.2021 05:00 - 07.06.2021 06:00;2673;2590
07.06.2021 06:00 - 07.06.2021 07:00;2604;3162
07.06.2021 07:00 - 07.06.2021 08:00;2700;2640
07.06.2021 08:00 - 07.06.2021 09:00;1980;2303
07.06.2021 09:00 - 07.06.2021 10:00;1136;2401
07.06.2021 10:00 - 07.06.2021 11:00;1998;3193
07.06.2021 11:00 - 07.06.2021 12:00;2302;3057
07.06.2021 12:00 - 07.06.2021 13:00;2771;1880
07.06.2021 13:00 - 07.06.2021 14:00;2806;1501
07.06.2021 14:00 - 07.06.2021 15:00;2773;1801
07.06.2021 15:00 - 07.06.2021 16:00;2332;2347
07.06.2021 16:00 - 07.06.2021 17:00;1982;1973
07.06.2021 17:00 - 07.06.2021 18:00;1023;1421
07.06.2021 18:00 - 07.06.2021 19:00;0;1287
07.06.2021 19:00 - 07.06.2021 20:00;621;2050
07.06.2021 20:00 - 07.06.2021 21:00;2461;1566
07.06.2021 21:00 - 07.06.2021 22:00;4284;0
07.06.2021 22:00 - 07.06.2021 23:00;3842;0
07.06.2021 23:00 - 08.06.2021 00:00;3112;427
08.06.2021 00:00 - 08.06.2021 01:00;2973;94
08.06.2021 01:00 - 08.06.2021 02:00;2884;383
08.06.2021 02:00 - 08.06.2021 03:00;2692;363
08.06.2021 03:00 - 08.06.2021 04:00;2911;249
08.06.2021 04:00 - 08.06.2021 05:00;2976;20
08.06.2021 05:00 - 08.06.2021 06:00;3469;0
08.06.2021 06:00 - 08.06.2021 07:00;3842;0
08.06.2021 07:00 - 08.06.2021 08:00;4604;0
08.06.2021 08:00 - 08.06.2021 09:00;3237;0
08.06.2021 09:00 - 08.06.2021 10:00;3240;0
08.06.2021 10:00 - 08.06.2021 11:00;3332;769
08.06.2021 11:00 - 08.06.2021 12:00;3311;1200
08.06.2021 12:00 - 08.06.2021 13:00;3371;1302
08.06.2021 13:00 - 08.06.2021 14:00;3019;1210
08.06.2021 14:00 - 08.06.2021 15:00;2991;1274
08.06.2021 15:00 - 08.06.2021 16:00;3067;1633
08.06.2021 16:00 - 08.06.2021 17:00;2988;1624
08.06.2021 17:00 - 08.06.2021 18:00;2500;978
08.06.2021 18:00 - 08.06.2021 19:00;400;153
08.06.2021 19:00 - 08.06.2021 20:00;1604;11
08.06.2021 20:00 - 08.06.2021 21:00;2911;0
08.06.2021 21:00 - 08.06.2021 22:00;4321;0
08.06.2021 22:00 - 08.06.2021 23:00;3945;0
08.06.2021 23:00 - 09.06.2021 00:00;3217;104
09.06.2021 00:00 - 09.06.2021 01:00;3392;0
09.06.2021 01:00 - 09.06.2021 02:00;2955;38
09.06.2021 02:00 - 09.06.2021 03:00;2932;203
09.06.2021 03:00 - 09.06.2021 04:00;2787;361
09.06.2021 04:00 - 09.06.2021 05:00;2771;103
09.06.2021 05:00 - 09.06.2021 06:00;3175;0
09.06.2021 06:00 - 09.06.2021 07:00;3377;0
09.06.2021 07:00 - 09.06.2021 08:00;4175;0
09.06.2021 08:00 - 09.06.2021 09:00;3977;0
09.06.2021 09:00 - 09.06.2021 10:00;3305;25
09.06.2021 10:00 - 09.06.2021 11:00;3325;759
09.06.2021 11:00 - 09.06.2021 12:00;3144;585
09.06.2021 12:00 - 09.06.2021 13:00;3146;1987
09.06.2021 13:00 - 09.06.2021 14:00;3112;1177
09.06.2021 14:00 - 09.06.2021 15:00;2971;1928
09.06.2021 15:00 - 09.06.2021 16:00;3097;3552
09.06.2021 16:00 - 09.06.2021 17:00;3048;4979
09.06.2021 17:00 - 09.06.2021 18:00;2503;4008
09.06.2021 18:00 - 09.06.2021 19:00;350;2737
09.06.2021 19:00 - 09.06.2021 20:00;1608;2611
09.06.2021 20:00 - 09.06.2021 21:00;2418;2418
09.06.2021 21:00 - 09.06.2021 22:00;3266;2826
09.06.2021 22:00 - 09.06.2021 23:00;2948;2700
09.06.2021 23:00 - 10.06.2021 00:00;2972;3283
10.06.2021 00:00 - 10.06.2021 01:00;3058;3605
10.06.2021 01:00 - 10.06.2021 02:00;2916;3648
10.06.2021 02:00 - 10.06.2021 03:00;3102;3972
10.06.2021 03:00 - 10.06.2021 04:00;2986;3757
10.06.2021 04:00 - 10.06.2021 05:00;3222;3343
10.06.2021 05:00 - 10.06.2021 06:00;3338;3243
10.06.2021 06:00 - 10.06.2021 07:00;3876;2428
10.06.2021 07:00 - 10.06.2021 08:00;4270;2615
10.06.2021 08:00 - 10.06.2021 09:00;4518;2670
10.06.2021 09:00 - 10.06.2021 10:00;4189;2505
10.06.2021 10:00 - 10.06.2021 11:00;3895;2466
10.06.2021 11:00 - 10.06.2021 12:00;3506;2288
10.06.2021 12:00 - 10.06.2021 13:00;3534;2461
10.06.2021 13:00 - 10.06.2021 14:00;3300;2518
10.06.2021 14:00 - 10.06.2021 15:00;3251;2652
10.06.2021 15:00 - 10.06.2021 16:00;3217;2944
10.06.2021 16:00 - 10.06.2021 17:00;3323;2741
10.06.2021 17:00 - 10.06.2021 18:00;2861;2410
10.06.2021 18:00 - 10.06.2021 19:00;1818;2590
10.06.2021 19:00 - 10.06.2021 20:00;2281;2492
10.06.2021 20:00 - 10.06.2021 21:00;3319;2021
10.06.2021 21:00 - 10.06.2021 22:00;4326;1560
10.06.2021 22:00 - 10.06.2021 23:00;2946;2118
10.06.2021 23:00 - 11.06.2021 00:00;2680;2557
11.06.2021 00:00 - 11.06.2021 01:00;3557;687
11.06.2021 01:00 - 11.06.2021 02:00;2913;1087
11.06.2021 02:00 - 11.06.2021 03:00;2731;923
11.06.2021 03:00 - 11.06.2021 04:00;2839;422
11.06.2021 04:00 - 11.06.2021 05:00;2830;0
11.06.2021 05:00 - 11.06.2021 06:00;3250;627
11.06.2021 06:00 - 11.06.2021 07:00;2227;1849
11.06.2021 07:00 - 11.06.2021 08:00;2760;1665
11.06.2021 08:00 - 11.06.2021 09:00;2582;1486
11.06.2021 09:00 - 11.06.2021 10:00;2435;1458
11.06.2021 10:00 - 11.06.2021 11:00;3382;1980
11.06.2021 11:00 - 11.06.2021 12:00;3209;2236
11.06.2021 12:00 - 11.06.2021 13:00;3383;3235
11.06.2021 13:00 - 11.06.2021 14:00;3160;1976
11.06.2021 14:00 - 11.06.2021 15:00;2706;1470
11.06.2021 15:00 - 11.06.2021 16:00;3061;1918
11.06.2021 16:00 - 11.06.2021 17:00;3338;2007
11.06.2021 17:00 - 11.06.2021 18:00;1318;1710
11.06.2021 18:00 - 11.06.2021 19:00;405;2417
11.06.2021 19:00 - 11.06.2021 20:00;25;2168
11.06.2021 20:00 - 11.06.2021 21:00;951;1699
11.06.2021 21:00 - 11.06.2021 22:00;2073;0
11.06.2021 22:00 - 11.06.2021 23:00;3000;1155
11.06.2021 23:00 - 12.06.2021 00:00;2642;1345
12.06.2021 00:00 - 12.06.2021 01:00;3413;190
12.06.2021 01:00 - 12.06.2021 02:00;3203;189
12.06.2021 02:00 - 12.06.2021 03:00;3321;292
12.06.2021 03:00 - 12.06.2021 04:00;3171;388
12.06.2021 04:00 - 12.06.2021 05:00;3110;270
12.06.2021 05:00 - 12.06.2021 06:00;3223;4
12.06.2021 06:00 - 12.06.2021 07:00;3380;1935
12.06.2021 07:00 - 12.06.2021 08:00;3392;1852
12.06.2021 08:00 - 12.06.2021 09:00;3374;1913
12.06.2021 09:00 - 12.06.2021 10:00;3375;2266
12.06.2021 10:00 - 12.06.2021 11:00;3388;2611
12.06.2021 11:00 - 12.06.2021 12:00;3500;2914
12.06.2021 12:00 - 12.06.2021 13:00;3359;2085
12.06.2021 13:00 - 12.06.2021 14:00;3431;2119
12.06.2021 14:00 - 12.06.2021 15:00;3122;2354
12.06.2021 15:00 - 12.06.2021 16:00;3290;3179
12.06.2021 16:00 - 12.06.2021 17:00;3327;3627
12.06.2021 17:00 - 12.06.2021 18:00;3010;3281
12.06.2021 18:00 - 12.06.2021 19:00;2973;4295
12.06.2021 19:00 - 12.06.2021 20:00;3016;4489
12.06.2021 20:00 - 12.06.2021 21:00;2997;3457
12.06.2021 21:00 - 12.06.2021 22:00;3300;1837
12.06.2021 22:00 - 12.06.2021 23:00;3526;1780
12.06.2021 23:00 - 13.06.2021 00:00;3073;2379
13.06.2021 00:00 - 13.06.2021 01:00;3094;2591
13.06.2021 01:00 - 13.06.2021 02:00;3096;3474
13.06.2021 02:00 - 13.06.2021 03:00;3093;3206
13.06.2021 03:00 - 13.06.2021 04:00;2888;3196
13.06.2021 04:00 - 13.06.2021 05:00;2880;2900
13.06.2021 05:00 - 13.06.2021 06:00;2959;2630
13.06.2021 06:00 - 13.06.2021 07:00;2782;1855
13.06.2021 07:00 - 13.06.2021 08:00;2746;1551
13.06.2021 08:00 - 13.06.2021 09:00;2993;1904
13.06.2021 09:00 - 13.06.2021 10:00;3060;2578
13.06.2021 10:00 - 13.06.2021 11:00;3067;3364
13.06.2021 11:00 - 13.06.2021 12:00;2988;3311
13.06.2021 12:00 - 13.06.2021 13:00;2935;3874
13.06.2021 13:00 - 13.06.2021 14:00;2922;3893
13.06.2021 14:00 - 13.06.2021 15:00;2908;3650
13.06.2021 15:00 - 13.06.2021 16:00;2826;3792
13.06.2021 16:00 - 13.06.2021 17:00;2748;3747
13.06.2021 17:00 - 13.06.2021 18:00;2794;3628
13.06.2021 18:00 - 13.06.2021 19:00;2567;3059
13.06.2021 19:00 - 13.06.2021 20:00;2078;3715
13.06.2021 20:00 - 13.06.2021 21:00;2905;2369
13.06.2021 21:00 - 13.06.2021 22:00;3479;1161
13.06.2021 22:00 - 13.06.2021 23:00;4064;1306
13.06.2021 23:00 - 14.06.2021 00:00;2782;1367
14.06.2021 00:00 - 14.06.2021 01:00;2649;1923
14.06.2021 01:00 - 14.06.2021 02:00;2353;1574
14.06.2021 02:00 - 14.06.2021 03:00;2479;1392
14.06.2021 03:00 - 14.06.2021 04:00;2689;1050
14.06.2021 04:00 - 14.06.2021 05:00;2821;799
14.06.2021 05:00 - 14.06.2021 06:00;2802;1568
14.06.2021 06:00 - 14.06.2021 07:00;2762;2366
14.06.2021 07:00 - 14.06.2021 08:00;3602;2058
14.06.2021 08:00 - 14.06.2021 09:00;3893;2018
14.06.2021 09:00 - 14.06.2021 10:00;3582;2031
14.06.2021 10:00 - 14.06.2021 11:00;3144;2087
14.06.2021 11:00 - 14.06.2021 12:00;2687;2064
14.06.2021 12:00 - 14.06.2021 13:00;3059;1771
14.06.2021 13:00 - 14.06.2021 14:00;2998;199
14.06.2021 14:00 - 14.06.2021 15:00;2675;44
14.06.2021 15:00 - 14.06.2021 16:00;2791;1215
14.06.2021 16:00 - 14.06.2021 17:00;2730;1341
14.06.2021 17:00 - 14.06.2021 18:00;2618;2426
14.06.2021 18:00 - 14.06.2021 19:00;997;2648
14.06.2021 19:00 - 14.06.2021 20:00;1476;2637
14.06.2021 20:00 - 14.06.2021 21:00;1545;2538
14.06.2021 21:00 - 14.06.2021 22:00;2118;1322
14.06.2021 22:00 - 14.06.2021 23:00;1844;2331
14.06.2021 23:00 - 15.06.2021 00:00;1044;2696
15.06.2021 00:00 - 15.06.2021 01:00;1813;2874
15.06.2021 01:00 - 15.06.2021 02:00;1724;1114
15.06.2021 02:00 - 15.06.2021 03:00;2001;1374
15.06.2021 03:00 - 15.06.2021 04:00;2177;399
15.06.2021 04:00 - 15.06.2021 05:00;2243;355
15.06.2021 05:00 - 15.06.2021 06:00;2352;870
15.06.2021 06:00 - 15.06.2021 07:00;2731;2122
15.06.2021 07:00 - 15.06.2021 08:00;2142;1713
15.06.2021 08:00 - 15.06.2021 09:00;2102;2730
15.06.2021 09:00 - 15.06.2021 10:00;2943;1613
15.06.2021 10:00 - 15.06.2021 11:00;3057;684
15.06.2021 11:00 - 15.06.2021 12:00;3105;452
15.06.2021 12:00 - 15.06.2021 13:00;3624;1182
15.06.2021 13:00 - 15.06.2021 14:00;2658;0
15.06.2021 14:00 - 15.06.2021 15:00;2625;0
15.06.2021 15:00 - 15.06.2021 16:00;2704;201
15.06.2021 16:00 - 15.06.2021 17:00;2798;632
15.06.2021 17:00 - 15.06.2021 18:00;2598;2450
15.06.2021 18:00 - 15.06.2021 19:00;940;2779
15.06.2021 19:00 - 15.06.2021 20:00;2135;3029
15.06.2021 20:00 - 15.06.2021 21:00;2066;2018
15.06.2021 21:00 - 15.06.2021 22:00;3658;64
15.06.2021 22:00 - 15.06.2021 23:00;3654;412
15.06.2021 23:00 - 16.06.2021 00:00;3631;468
16.06.2021 00:00 - 16.06.2021 01:00;2926;700
16.06.2021 01:00 - 16.06.2021 02:00;2670;0
16.06.2021 02:00 - 16.06.2021 03:00;2312;0
16.06.2021 03:00 - 16.06.2021 04:00;2418;0
16.06.2021 04:00 - 16.06.2021 05:00;2990;0
16.06.2021 05:00 - 16.06.2021 06:00;3175;0
16.06.2021 06:00 - 16.06.2021 07:00;3161;0
16.06.2021 07:00 - 16.06.2021 08:00;3863;0
16.06.2021 08:00 - 16.06.2021 09:00;4519;0
16.06.2021 09:00 - 16.06.2021 10:00;3702;75
16.06.2021 10:00 - 16.06.2021 11:00;2765;0
16.06.2021 11:00 - 16.06.2021 12:00;2906;0
16.06.2021 12:00 - 16.06.2021 13:00;2490;148
16.06.2021 13:00 - 16.06.2021 14:00;2443;446
16.06.2021 14:00 - 16.06.2021 15:00;2561;608
16.06.2021 15:00 - 16.06.2021 16:00;2412;1043
16.06.2021 16:00 - 16.06.2021 17:00;2159;1261
16.06.2021 17:00 - 16.06.2021 18:00;356;74
16.06.2021 18:00 - 16.06.2021 19:00;744;869
16.06.2021 19:00 - 16.06.2021 20:00;724;2058
16.06.2021 20:00 - 16.06.2021 21:00;1189;83
16.06.2021 21:00 - 16.06.2021 22:00;1014;0
16.06.2021 22:00 - 16.06.2021 23:00;1023;92
16.06.2021 23:00 - 17.06.2021 00:00;2244;638
17.06.2021 00:00 - 17.06.2021 01:00;2020;0
17.06.2021 01:00 - 17.06.2021 02:00;1620;0
17.06.2021 02:00 - 17.06.2021 03:00;1420;100
17.06.2021 03:00 - 17.06.2021 04:00;1482;99
17.06.2021 04:00 - 17.06.2021 05:00;1657;103
17.06.2021 05:00 - 17.06.2021 06:00;2008;0
17.06.2021 06:00 - 17.06.2021 07:00;2317;1988
17.06.2021 07:00 - 17.06.2021 08:00;3004;2109
17.06.2021 08:00 - 17.06.2021 09:00;3745;2065
17.06.2021 09:00 - 17.06.2021 10:00;2832;2115
17.06.2021 10:00 - 17.06.2021 11:00;2168;2271
17.06.2021 11:00 - 17.06.2021 12:00;2050;1902
17.06.2021 12:00 - 17.06.2021 13:00;2301;550
17.06.2021 13:00 - 17.06.2021 14:00;1960;452
17.06.2021 14:00 - 17.06.2021 15:00;2045;1008
17.06.2021 15:00 - 17.06.2021 16:00;1656;1176
17.06.2021 16:00 - 17.06.2021 17:00;2163;1179
17.06.2021 17:00 - 17.06.2021 18:00;416;1602
17.06.2021 18:00 - 17.06.2021 19:00;435;2625
17.06.2021 19:00 - 17.06.2021 20:00;1324;2396
17.06.2021 20:00 - 17.06.2021 21:00;2018;2157
17.06.2021 21:00 - 17.06.2021 22:00;2199;1448
17.06.2021 22:00 - 17.06.2021 23:00;2379;1605
17.06.2021 23:00 - 18.06.2021 00:00;2451;1035
18.06.2021 00:00 - 18.06.2021 01:00;2393;0
18.06.2021 01:00 - 18.06.2021 02:00;1983;0
18.06.2021 02:00 - 18.06.2021 03:00;1862;0
18.06.2021 03:00 - 18.06.2021 04:00;2041;0
18.06.2021 04:00 - 18.06.2021 05:00;1932;0
18.06.2021 05:00 - 18.06.2021 06:00;2063;0
18.06.2021 06:00 - 18.06.2021 07:00;2639;1117
18.06.2021 07:00 - 18.06.2021 08:00;3073;2232
18.06.2021 08:00 - 18.06.2021 09:00;2604;1598
18.06.2021 09:00 - 18.06.2021 10:00;2448;1286
18.06.2021 10:00 - 18.06.2021 11:00;2455;458
18.06.2021 11:00 - 18.06.2021 12:00;2248;0
18.06.2021 12:00 - 18.06.2021 13:00;2431;0
18.06.2021 13:00 - 18.06.2021 14:00;2391;190
18.06.2021 14:00 - 18.06.2021 15:00;2406;666
18.06.2021 15:00 - 18.06.2021 16:00;2466;1322
18.06.2021 16:00 - 18.06.2021 17:00;2181;1521
18.06.2021 17:00 - 18.06.2021 18:00;2198;1625
18.06.2021 18:00 - 18.06.2021 19:00;616;2435
18.06.2021 19:00 - 18.06.2021 20:00;521;2128
18.06.2021 20:00 - 18.06.2021 21:00;1065;1870
18.06.2021 21:00 - 18.06.2021 22:00;2651;460
18.06.2021 22:00 - 18.06.2021 23:00;3047;135
18.06.2021 23:00 - 19.06.2021 00:00;2920;152
19.06.2021 00:00 - 19.06.2021 01:00;3046;200
19.06.2021 01:00 - 19.06.2021 02:00;2846;577
19.06.2021 02:00 - 19.06.2021 03:00;2838;522
19.06.2021 03:00 - 19.06.2021 04:00;2976;310
19.06.2021 04:00 - 19.06.2021 05:00;2804;272
19.06.2021 05:00 - 19.06.2021 06:00;2847;31
19.06.2021 06:00 - 19.06.2021 07:00;2676;899
19.06.2021 07:00 - 19.06.2021 08:00;2811;2395
19.06.2021 08:00 - 19.06.2021 09:00;2980;1396
19.06.2021 09:00 - 19.06.2021 10:00;3063;159
19.06.2021 10:00 - 19.06.2021 11:00;2965;419
19.06.2021 11:00 - 19.06.2021 12:00;2857;456
19.06.2021 12:00 - 19.06.2021 13:00;2990;571
19.06.2021 13:00 - 19.06.2021 14:00;3189;448
19.06.2021 14:00 - 19.06.2021 15:00;3027;972
19.06.2021 15:00 - 19.06.2021 16:00;3086;1665
19.06.2021 16:00 - 19.06.2021 17:00;1956;1334
19.06.2021 17:00 - 19.06.2021 18:00;542;1199
19.06.2021 18:00 - 19.06.2021 19:00;0;609
19.06.2021 19:00 - 19.06.2021 20:00;616;1410
19.06.2021 20:00 - 19.06.2021 21:00;1769;0
19.06.2021 21:00 - 19.06.2021 22:00;2927;280
19.06.2021 22:00 - 19.06.2021 23:00;3002;462
19.06.2021 23:00 - 20.06.2021 00:00;3209;1061
