Time (CET);Imports;Exports
09.03.2021 23:00 - 10.03.2021 00:00;2946;872
10.03.2021 00:00 - 10.03.2021 01:00;2932;647
10.03.2021 01:00 - 10.03.2021 02:00;2661;825
10.03.2021 02:00 - 10.03.2021 03:00;2568;749
10.03.2021 03:00 - 10.03.2021 04:00;2417;880
10.03.2021 04:00 - 10.03.2021 05:00;2447;726
10.03.2021 05:00 - 10.03.2021 06:00;1728;411
10.03.2021 06:00 - 10.03.2021 07:00;772;0
10.03.2021 07:00 - 10.03.2021 08:00;2681;0
10.03.2021 08:00 - 10.03.2021 09:00;2602;0
10.03.2021 09:00 - 10.03.2021 10:00;2752;0
10.03.2021 10:00 - 10.03.2021 11:00;2158;0
10.03.2021 11:00 - 10.03.2021 12:00;2418;517
10.03.2021 12:00 - 10.03.2021 13:00;2427;582
10.03.2021 13:00 - 10.03.2021 14:00;2603;799
10.03.2021 14:00 - 10.03.2021 15:00;2451;833
10.03.2021 15:00 - 10.03.2021 16:00;2553;1175
10.03.2021 16:00 - 10.03.2021 17:00;1770;937
10.03.2021 17:00 - 10.03.2021 18:00;436;332
10.03.2021 18:00 - 10.03.2021 19:00;792;0
10.03.2021 19:00 - 10.03.2021 20:00;3331;0
10.03.2021 20:00 - 10.03.2021 21:00;3624;0
10.03.2021 21:00 - 10.03.2021 22:00;3832;0
10.03.2021 22:00 - 10.03.2021 23:00;3535;737
10.03.2021 23:00 - 11.03.2021 00:00;3417;843
11.03.2021 00:00 - 11.03.2021 01:00;2400;972
11.03.2021 01:00 - 11.03.2021 02:00;2387;1262
11.03.2021 02:00 - 11.03.2021 03:00;1950;1030
11.03.2021 03:00 - 11.03.2021 04:00;2823;1501
11.03.2021 04:00 - 11.03.2021 05:00;2364;283
11.03.2021 05:00 - 11.03.2021 06:00;2484;384
11.03.2021 06:00 - 11.03.2021 07:00;1096;347
11.03.2021 07:00 - 11.03.2021 08:00;899;0
11.03.2021 08:00 - 11.03.2021 09:00;2336;0
11.03.2021 09:00 - 11.03.2021 10:00;915;0
11.03.2021 10:00 - 11.03.2021 11:00;424;703
11.03.2021 11:00 - 11.03.2021 12:00;129;1061
11.03.2021 12:00 - 11.03.2021 13:00;499;1091
11.03.2021 13:00 - 11.03.2021 14:00;1049;1770
11.03.2021 14:00 - 11.03.2021 15:00;1964;2515
11.03.2021 15:00 - 11.03.2021 16:00;1643;2521
11.03.2021 16:00 - 11.03.2021 17:00;1217;1990
11.03.2021 17:00 - 11.03.2021 18:00;1579;1813
11.03.2021 18:00 - 11.03.2021 19:00;1670;402
11.03.2021 19:00 - 11.03.2021 20:00;1400;0
11.03.2021 20:00 - 11.03.2021 21:00;3331;99
11.03.2021 21:00 - 11.03.2021 22:00;3272;74
11.03.2021 22:00 - 11.03.2021 23:00;3207;463
11.03.2021 23:00 - 12.03.2021 00:00;2564;831
12.03.2021 00:00 - 12.03.2021 01:00;2836;1203
12.03.2021 01:00 - 12.03.2021 02:00;2642;2048
12.03.2021 02:00 - 12.03.2021 03:00;2732;2079
12.03.2021 03:00 - 12.03.2021 04:00;2964;1595
12.03.2021 04:00 - 12.03.2021 05:00;2774;1158
12.03.2021 05:00 - 12.03.2021 06:00;2505;927
12.03.2021 06:00 - 12.03.2021 07:00;1238;0
12.03.2021 07:00 - 12.03.2021 08:00;3073;0
12.03.2021 08:00 - 12.03.2021 09:00;3160;0
12.03.2021 09:00 - 12.03.2021 10:00;2436;0
12.03.2021 10:00 - 12.03.2021 11:00;2978;844
12.03.2021 11:00 - 12.03.2021 12:00;2491;1506
12.03.2021 12:00 - 12.03.2021 13:00;2672;1753
12.03.2021 13:00 - 12.03.2021 14:00;2657;3116
12.03.2021 14:00 - 12.03.2021 15:00;2477;3192
12.03.2021 15:00 - 12.03.2021 16:00;1510;2367
12.03.2021 16:00 - 12.03.2021 17:00;474;2213
12.03.2021 17:00 - 12.03.2021 18:00;367;1084
12.03.2021 18:00 - 12.03.2021 19:00;927;0
12.03.2021 19:00 - 12.03.2021 20:00;1970;0
12.03.2021 20:00 - 12.03.2021 21:00;2979;0
12.03.2021 21:00 - 12.03.2021 22:00;2941;144
12.03.2021 22:00 - 12.03.2021 23:00;3218;0
12.03.2021 23:00 - 13.03.2021 00:00;2880;733
13.03.2021 00:00 - 13.03.2021 01:00;3313;674
13.03.2021 01:00 - 13.03.2021 02:00;3236;914
13.03.2021 02:00 - 13.03.2021 03:00;3045;1417
13.03.2021 03:00 - 13.03.2021 04:00;3033;1697
13.03.2021 04:00 - 13.03.2021 05:00;2936;823
13.03.2021 05:00 - 13.03.2021 06:00;3076;934
13.03.2021 06:00 - 13.03.2021 07:00;3127;368
13.03.2021 07:00 - 13.03.2021 08:00;2974;209
13.03.2021 08:00 - 13.03.2021 09:00;2594;0
13.03.2021 09:00 - 13.03.2021 10:00;2295;0
13.03.2021 10:00 - 13.03.2021 11:00;2817;1212
13.03.2021 11:00 - 13.03.2021 12:00;2868;1853
13.03.2021 12:00 - 13.03.2021 13:00;2342;2053
13.03.2021 13:00 - 13.03.2021 14:00;2932;1944
13.03.2021 14:00 - 13.03.2021 15:00;2890;1941
13.03.2021 15:00 - 13.03.2021 16:00;2258;2367
13.03.2021 16:00 - 13.03.2021 17:00;2043;2165
13.03.2021 17:00 - 13.03.2021 18:00;1338;1428
13.03.2021 18:00 - 13.03.2021 19:00;255;0
13.03.2021 19:00 - 13.03.2021 20:00;1355;0
13.03.2021 20:00 - 13.03.2021 21:00;2036;0
13.03.2021 21:00 - 13.03.2021 22:00;3028;165
13.03.2021 22:00 - 13.03.2021 23:00;1717;454
13.03.2021 23:00 - 14.03.2021 00:00;1348;776
14.03.2021 00:00 - 14.03.2021 01:00;1787;1104
14.03.2021 01:00 - 14.03.2021 02:00;1684;1067
14.03.2021 02:00 - 14.03.2021 03:00;1472;807
14.03.2021 03:00 - 14.03.2021 04:00;2735;819
14.03.2021 04:00 - 14.03.2021 05:00;2484;533
14.03.2021 05:00 - 14.03.2021 06:00;2578;751
14.03.2021 06:00 - 14.03.2021 07:00;1219;395
14.03.2021 07:00 - 14.03.2021 08:00;884;480
14.03.2021 08:00 - 14.03.2021 09:00;0;518
14.03.2021 09:00 - 14.03.2021 10:00;0;538
14.03.2021 10:00 - 14.03.2021 11:00;0;489
14.03.2021 11:00 - 14.03.2021 12:00;0;521
14.03.2021 12:00 - 14.03.2021 13:00;0;1390
14.03.2021 13:00 - 14.03.2021 14:00;911;2288
14.03.2021 14:00 - 14.03.2021 15:00;1047;2843
14.03.2021 15:00 - 14.03.2021 16:00;395;3261
14.03.2021 16:00 - 14.03.2021 17:00;144;2466
14.03.2021 17:00 - 14.03.2021 18:00;0;1656
14.03.2021 18:00 - 14.03.2021 19:00;468;0
14.03.2021 19:00 - 14.03.2021 20:00;1560;0
14.03.2021 20:00 - 14.03.2021 21:00;1115;0
14.03.2021 21:00 - 14.03.2021 22:00;980;0
14.03.2021 22:00 - 14.03.2021 23:00;1767;0
14.03.2021 23:00 - 15.03.2021 00:00;912;0
15.03.2021 00:00 - 15.03.2021 01:00;588;1294
15.03.2021 01:00 - 15.03.2021 02:00;0;916
15.03.2021 02:00 - 15.03.2021 03:00;0;422
15.03.2021 03:00 - 15.03.2021 04:00;0;248
15.03.2021 04:00 - 15.03.2021 05:00;0;236
15.03.2021 05:00 - 15.03.2021 06:00;12;0
15.03.2021 06:00 - 15.03.2021 07:00;1160;0
15.03.2021 07:00 - 15.03.2021 08:00;2272;0
15.03.2021 08:00 - 15.03.2021 09:00;2927;0
15.03.2021 09:00 - 15.03.2021 10:00;1743;0
15.03.2021 10:00 - 15.03.2021 11:00;829;0
15.03.2021 11:00 - 15.03.2021 12:00;0;88
15.03.2021 12:00 - 15.03.2021 13:00;0;386
15.03.2021 13:00 - 15.03.2021 14:00;0;1132
15.03.2021 14:00 - 15.03.2021 15:00;0;1840
15.03.2021 15:00 - 15.03.2021 16:00;0;1792
15.03.2021 16:00 - 15.03.2021 17:00;0;1408
15.03.2021 17:00 - 15.03.2021 18:00;0;1216
15.03.2021 18:00 - 15.03.2021 19:00;0;107
15.03.2021 19:00 - 15.03.2021 20:00;1019;0
15.03.2021 20:00 - 15.03.2021 21:00;1313;0
15.03.2021 21:00 - 15.03.2021 22:00;822;0
15.03.2021 22:00 - 15.03.2021 23:00;27;0
15.03.2021 23:00 - 16.03.2021 00:00;276;0
16.03.2021 00:00 - 16.03.2021 01:00;432;0
16.03.2021 01:00 - 16.03.2021 02:00;144;0
16.03.2021 02:00 - 16.03.2021 03:00;0;204
16.03.2021 03:00 - 16.03.2021 04:00;0;311
16.03.2021 04:00 - 16.03.2021 05:00;0;318
16.03.2021 05:00 - 16.03.2021 06:00;0;312
16.03.2021 06:00 - 16.03.2021 07:00;0;72
16.03.2021 07:00 - 16.03.2021 08:00;1447;0
16.03.2021 08:00 - 16.03.2021 09:00;1608;0
16.03.2021 09:00 - 16.03.2021 10:00;134;0
16.03.2021 10:00 - 16.03.2021 11:00;0;47
16.03.2021 11:00 - 16.03.2021 12:00;0;589
16.03.2021 12:00 - 16.03.2021 13:00;0;1023
16.03.2021 13:00 - 16.03.2021 14:00;0;1299
16.03.2021 14:00 - 16.03.2021 15:00;0;1576
16.03.2021 15:00 - 16.03.2021 16:00;0;2569
16.03.2021 16:00 - 16.03.2021 17:00;0;2302
16.03.2021 17:00 - 16.03.2021 18:00;0;2228
16.03.2021 18:00 - 16.03.2021 19:00;0;1621
16.03.2021 19:00 - 16.03.2021 20:00;323;0
16.03.2021 20:00 - 16.03.2021 21:00;1253;0
16.03.2021 21:00 - 16.03.2021 22:00;1115;0
16.03.2021 22:00 - 16.03.2021 23:00;683;0
16.03.2021 23:00 - 17.03.2021 00:00;0;255
17.03.2021 00:00 - 17.03.2021 01:00;1000;0
17.03.2021 01:00 - 17.03.2021 02:00;724;0
17.03.2021 02:00 - 17.03.2021 03:00;847;0
17.03.2021 03:00 - 17.03.2021 04:00;648;0
17.03.2021 04:00 - 17.03.2021 05:00;438;0
17.03.2021 05:00 - 17.03.2021 06:00;486;0
17.03.2021 06:00 - 17.03.2021 07:00;559;0
17.03.2021 07:00 - 17.03.2021 08:00;2843;0
17.03.2021 08:00 - 17.03.2021 09:00;3132;0
17.03.2021 09:00 - 17.03.2021 10:00;1705;0
17.03.2021 10:00 - 17.03.2021 11:00;538;0
17.03.2021 11:00 - 17.03.2021 12:00;0;391
17.03.2021 12:00 - 17.03.2021 13:00;0;1107
17.03.2021 13:00 - 17.03.2021 14:00;0;1237
17.03.2021 14:00 - 17.03.2021 15:00;0;1912
17.03.2021 15:00 - 17.03.2021 16:00;0;2308
17.03.2021 16:00 - 17.03.2021 17:00;0;2318
17.03.2021 17:00 - 17.03.2021 18:00;0;1755
17.03.2021 18:00 - 17.03.2021 19:00;0;556
17.03.2021 19:00 - 17.03.2021 20:00;1105;0
17.03.2021 20:00 - 17.03.2021 21:00;1823;0
17.03.2021 21:00 - 17.03.2021 22:00;1481;0
17.03.2021 22:00 - 17.03.2021 23:00;530;0
17.03.2021 23:00 - 18.03.2021 00:00;261;0
18.03.2021 00:00 - 18.03.2021 01:00;245;0
18.03.2021 01:00 - 18.03.2021 02:00;684;0
18.03.2021 02:00 - 18.03.2021 03:00;872;0
18.03.2021 03:00 - 18.03.2021 04:00;1348;0
18.03.2021 04:00 - 18.03.2021 05:00;1756;0
18.03.2021 05:00 - 18.03.2021 06:00;1548;0
18.03.2021 06:00 - 18.03.2021 07:00;1605;0
18.03.2021 07:00 - 18.03.2021 08:00;2296;0
18.03.2021 08:00 - 18.03.2021 09:00;2658;0
18.03.2021 09:00 - 18.03.2021 10:00;836;0
18.03.2021 10:00 - 18.03.2021 11:00;0;730
18.03.2021 11:00 - 18.03.2021 12:00;0;224
18.03.2021 12:00 - 18.03.2021 13:00;297;0
18.03.2021 13:00 - 18.03.2021 14:00;0;342
18.03.2021 14:00 - 18.03.2021 15:00;0;1036
18.03.2021 15:00 - 18.03.2021 16:00;0;1984
18.03.2021 16:00 - 18.03.2021 17:00;0;1698
18.03.2021 17:00 - 18.03.2021 18:00;0;1506
18.03.2021 18:00 - 18.03.2021 19:00;0;959
18.03.2021 19:00 - 18.03.2021 20:00;426;0
18.03.2021 20:00 - 18.03.2021 21:00;570;0
18.03.2021 21:00 - 18.03.2021 22:00;947;0
18.03.2021 22:00 - 18.03.2021 23:00;653;0
18.03.2021 23:00 - 19.03.2021 00:00;0;442
19.03.2021 00:00 - 19.03.2021 01:00;528;0
19.03.2021 01:00 - 19.03.2021 02:00;568;0
19.03.2021 02:00 - 19.03.2021 03:00;647;0
19.03.2021 03:00 - 19.03.2021 04:00;806;0
19.03.2021 04:00 - 19.03.2021 05:00;978;0
19.03.2021 05:00 - 19.03.2021 06:00;1498;0
19.03.2021 06:00 - 19.03.2021 07:00;1168;0
19.03.2021 07:00 - 19.03.2021 08:00;1717;0
19.03.2021 08:00 - 19.03.2021 09:00;1676;0
19.03.2021 09:00 - 19.03.2021 10:00;856;0
19.03.2021 10:00 - 19.03.2021 11:00;285;0
19.03.2021 11:00 - 19.03.2021 12:00;0;530
19.03.2021 12:00 - 19.03.2021 13:00;0;1262
19.03.2021 13:00 - 19.03.2021 14:00;0;862
19.03.2021 14:00 - 19.03.2021 15:00;0;841
19.03.2021 15:00 - 19.03.2021 16:00;0;870
19.03.2021 16:00 - 19.03.2021 17:00;0;968
19.03.2021 17:00 - 19.03.2021 18:00;0;1274
19.03.2021 18:00 - 19.03.2021 19:00;0;497
19.03.2021 19:00 - 19.03.2021 20:00;786;0
19.03.2021 20:00 - 19.03.2021 21:00;1160;0
