Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
12.06.2021 01:00 - 12.06.2021 02:00;25130;3203;189;81.6;4141;3961;99;580;7054
12.06.2021 02:00 - 12.06.2021 03:00;24039;3321;292;79.95;3905;3744;95;548;6637
12.06.2021 03:00 - 12.06.2021 04:00;23268;3171;388;79.7;3266;3713;103;542;6994
12.06.2021 04:00 - 12.06.2021 05:00;22976;3110;270;77.21;2721;3732;99;439;7430
12.06.2021 05:00 - 12.06.2021 06:00;22719;3223;4;73.35;2066;3749;103;213;7750
12.06.2021 06:00 - 12.06.2021 07:00;22780;3380;1935;73.35;1968;3772;98;247;7477
12.06.2021 07:00 - 12.06.2021 08:00;23292;3392;1852;73.35;2346;3792;93;829;6730
12.06.2021 08:00 - 12.06.2021 09:00;25110;3374;1913;77.96;2842;3814;98;3136;5712
12.06.2021 09:00 - 12.06.2021 10:00;27102;3375;2266;77.21;3107;3838;98;6245;5358
12.06.2021 10:00 - 12.06.2021 11:00;28355;3388;2611;73.35;2759;3855;94;8592;5397
12.06.2021 11:00 - 12.06.2021 12:00;28812;3500;2914;70.5;2357;3875;94;9796;5860
12.06.2021 12:00 - 12.06.2021 13:00;29232;3359;2085;71.01;2521;3897;90;10331;6450
12.06.2021 13:00 - 12.06.2021 14:00;29525;3431;2119;76.7;2744;3954;95;10621;6630
12.06.2021 14:00 - 12.06.2021 15:00;28937;3122;2354;73.35;2724;4041;96;10247;6892
12.06.2021 15:00 - 12.06.2021 16:00;27943;3290;3179;68.86;2865;4078;96;9532;6987
12.06.2021 16:00 - 12.06.2021 17:00;27390;3327;3627;68.65;3020;4152;96;8597;7178
12.06.2021 17:00 - 12.06.2021 18:00;27152;3010;3281;68.9;3070;4259;97;7644;7283
12.06.2021 18:00 - 12.06.2021 19:00;27011;2973;4295;73.35;3280;4329;98;6209;7373
12.06.2021 19:00 - 12.06.2021 20:00;27218;3016;4489;81.2;4233;4337;99;4115;7666
12.06.2021 20:00 - 12.06.2021 21:00;27376;2997;3457;87.85;4254;4365;98;2164;7775
12.06.2021 21:00 - 12.06.2021 22:00;27626;3300;1837;91.42;4173;4384;98;921;8004
12.06.2021 22:00 - 12.06.2021 23:00;27426;3526;1780;91.88;3994;4385;97;498;8253
12.06.2021 23:00 - 13.06.2021 00:00;25763;3073;2379;88.68;3602;4392;95;484;8015
13.06.2021 00:00 - 13.06.2021 01:00;24444;3094;2591;80.62;3297;4396;95;422;7810
13.06.2021 01:00 - 13.06.2021 02:00;22926;3096;3474;80;3232;4398;95;309;6804
13.06.2021 02:00 - 13.06.2021 03:00;21971;3093;3206;79.95;3155;4400;95;269;5790
13.06.2021 03:00 - 13.06.2021 04:00;21368;2888;3196;80;3199;4407;95;157;4903
13.06.2021 04:00 - 13.06.2021 05:00;20931;2880;2900;80.31;3137;4477;91;98;3787
13.06.2021 05:00 - 13.06.2021 06:00;20786;2959;2630;81.02;3510;4554;89;57;2831
13.06.2021 06:00 - 13.06.2021 07:00;20840;2782;1855;80.72;3330;4629;93;197;2549
13.06.2021 07:00 - 13.06.2021 08:00;20784;2746;1551;80.31;2823;4706;93;747;2588
13.06.2021 08:00 - 13.06.2021 09:00;21946;2993;1904;80.31;2442;4738;95;2919;2573
13.06.2021 09:00 - 13.06.2021 10:00;23474;3060;2578;79.7;2455;4762;97;5801;2364
13.06.2021 10:00 - 13.06.2021 11:00;24924;3067;3364;76;2673;4791;97;7916;2919
13.06.2021 11:00 - 13.06.2021 12:00;25851;2988;3311;73.35;1953;4813;95;9444;3355
13.06.2021 12:00 - 13.06.2021 13:00;26492;2935;3874;69.99;2217;4826;95;10453;3796
13.06.2021 13:00 - 13.06.2021 14:00;27088;2922;3893;72.86;1931;4843;94;10585;4090
13.06.2021 14:00 - 13.06.2021 15:00;27242;2908;3650;73.35;2040;4870;96;10344;4313
13.06.2021 15:00 - 13.06.2021 16:00;26134;2826;3792;69.99;2332;4900;94;9753;4310
13.06.2021 16:00 - 13.06.2021 17:00;25536;2748;3747;69.95;2427;4925;91;8821;4327
13.06.2021 17:00 - 13.06.2021 18:00;25418;2794;3628;70;2611;4931;91;7930;4126
13.06.2021 18:00 - 13.06.2021 19:00;25666;2567;3059;73.35;2698;4928;88;6787;3857
13.06.2021 19:00 - 13.06.2021 20:00;26048;2078;3715;79.95;3800;4929;91;5061;3804
13.06.2021 20:00 - 13.06.2021 21:00;26518;2905;2369;88.07;4474;4938;90;2520;4217
13.06.2021 21:00 - 13.06.2021 22:00;27559;3479;1161;93.27;4914;4944;87;963;4224
13.06.2021 22:00 - 13.06.2021 23:00;28065;4064;1306;95;4214;4944;85;562;4961
13.06.2021 23:00 - 14.06.2021 00:00;26453;2782;1367;92.63;4487;4951;84;492;3879
14.06.2021 00:00 - 14.06.2021 01:00;24750;2649;1923;87.7;3053;4954;83;433;3853
14.06.2021 01:00 - 14.06.2021 02:00;23477;2353;1574;87.08;3251;4956;78;363;3308
14.06.2021 02:00 - 14.06.2021 03:00;22616;2479;1392;83.95;3040;4961;81;359;2941
14.06.2021 03:00 - 14.06.2021 04:00;22274;2689;1050;85;3264;4966;83;343;2516
14.06.2021 04:00 - 14.06.2021 05:00;22188;2821;799;86.7;2828;4972;83;222;2348
14.06.2021 05:00 - 14.06.2021 06:00;22851;2802;1568;87.29;3319;4978;84;110;1991
14.06.2021 06:00 - 14.06.2021 07:00;25205;2762;2366;88;4205;4981;85;260;1872
14.06.2021 07:00 - 14.06.2021 08:00;27754;3602;2058;93;4907;4979;81;856;1782
14.06.2021 08:00 - 14.06.2021 09:00;29645;3893;2018;93;5029;4980;81;2887;1397
14.06.2021 09:00 - 14.06.2021 10:00;31121;3582;2031;90;4617;4985;79;6120;1078
14.06.2021 10:00 - 14.06.2021 11:00;32101;3144;2087;87.54;4137;4977;85;8652;998
14.06.2021 11:00 - 14.06.2021 12:00;32904;2687;2064;87.7;4089;4973;81;9856;994
14.06.2021 12:00 - 14.06.2021 13:00;33758;3059;1771;88.07;3957;4971;85;10401;1127
14.06.2021 13:00 - 14.06.2021 14:00;34235;2998;199;88.07;3902;4966;93;10658;1330
14.06.2021 14:00 - 14.06.2021 15:00;34191;2675;44;87.29;3929;4960;91;10487;1528
14.06.2021 15:00 - 14.06.2021 16:00;33571;2791;1215;81.71;4797;4956;94;9991;1827
14.06.2021 16:00 - 14.06.2021 17:00;33408;2730;1341;81.71;5208;4955;95;9271;2415
14.06.2021 17:00 - 14.06.2021 18:00;33221;2618;2426;82.08;4859;4955;95;8533;3523
14.06.2021 18:00 - 14.06.2021 19:00;32268;997;2648;88.85;4855;4955;95;7217;4285
14.06.2021 19:00 - 14.06.2021 20:00;32057;1476;2637;95;5326;4961;92;5240;5211
14.06.2021 20:00 - 14.06.2021 21:00;32017;1545;2538;98.35;6000;4969;91;2770;6575
14.06.2021 21:00 - 14.06.2021 22:00;31517;2118;1322;95;5911;4971;95;1027;6829
14.06.2021 22:00 - 14.06.2021 23:00;30749;1844;2331;92.29;5406;4972;96;566;7146
14.06.2021 23:00 - 15.06.2021 00:00;28418;1044;2696;88;4213;4980;96;513;7090
15.06.2021 00:00 - 15.06.2021 01:00;27309;1813;2874;90;3318;4980;95;424;7040
15.06.2021 01:00 - 15.06.2021 02:00;25997;1724;1114;87;2869;4977;90;399;6373
15.06.2021 02:00 - 15.06.2021 03:00;24877;2001;1374;84.05;3160;4981;91;402;4995
15.06.2021 03:00 - 15.06.2021 04:00;24338;2177;399;81.2;3121;4982;91;399;4792
15.06.2021 04:00 - 15.06.2021 05:00;24157;2243;355;81.2;2739;4984;94;363;4906
15.06.2021 05:00 - 15.06.2021 06:00;24564;2352;870;84.05;2699;4986;93;280;5289
15.06.2021 06:00 - 15.06.2021 07:00;26409;2731;2122;85;2747;4988;93;282;5640
15.06.2021 07:00 - 15.06.2021 08:00;28928;2142;1713;93.55;4384;4987;96;759;5556
15.06.2021 08:00 - 15.06.2021 09:00;30870;2102;2730;96.81;5374;4987;95;2806;4148
15.06.2021 09:00 - 15.06.2021 10:00;32259;2943;1613;92;4911;4986;96;5039;3079
15.06.2021 10:00 - 15.06.2021 11:00;33060;3057;684;90;4594;4983;94;6576;2680
15.06.2021 11:00 - 15.06.2021 12:00;33550;3105;452;92;4340;4974;97;7302;2644
15.06.2021 12:00 - 15.06.2021 13:00;34237;3624;1182;92;4472;4962;102;7490;2860
15.06.2021 13:00 - 15.06.2021 14:00;34599;2658;0;92.2;5213;4957;105;7384;3320
15.06.2021 14:00 - 15.06.2021 15:00;34325;2625;0;91.1;5070;4952;103;7058;3737
15.06.2021 15:00 - 15.06.2021 16:00;33707;2704;201;89.51;4064;4952;101;7544;4129
15.06.2021 16:00 - 15.06.2021 17:00;33591;2798;632;89.7;4118;4949;102;7130;4503
15.06.2021 17:00 - 15.06.2021 18:00;33240;2598;2450;92.2;4060;4950;103;5697;4989
15.06.2021 18:00 - 15.06.2021 19:00;32645;940;2779;94.6;4441;4952;106;4571;6161
15.06.2021 19:00 - 15.06.2021 20:00;32180;2135;3029;100;5507;4961;106;3328;6217
15.06.2021 20:00 - 15.06.2021 21:00;31888;2066;2018;100;6703;4963;108;1592;5070
15.06.2021 21:00 - 15.06.2021 22:00;31555;3658;64;97.36;5966;4966;109;363;4739
15.06.2021 22:00 - 15.06.2021 23:00;30702;3654;412;94.55;4860;4970;107;90;5308
15.06.2021 23:00 - 16.06.2021 00:00;28504;3631;468;92.74;3539;4977;107;86;5876
16.06.2021 00:00 - 16.06.2021 01:00;27513;2926;700;97.5;3370;4974;100;80;6224
16.06.2021 01:00 - 16.06.2021 02:00;26039;2670;0;95;2964;4969;98;72;6009
16.06.2021 02:00 - 16.06.2021 03:00;25081;2312;0;93.35;3152;4969;100;52;4593
16.06.2021 03:00 - 16.06.2021 04:00;24481;2418;0;93.35;3295;4969;99;44;3809
16.06.2021 04:00 - 16.06.2021 05:00;24306;2990;0;93.35;3124;4970;101;43;3088
16.06.2021 05:00 - 16.06.2021 06:00;24759;3175;0;93.46;3340;4979;103;44;2532
16.06.2021 06:00 - 16.06.2021 07:00;26704;3161;0;95.01;4171;4981;101;131;2017
16.06.2021 07:00 - 16.06.2021 08:00;29138;3863;0;99.29;5123;4978;100;482;1903
16.06.2021 08:00 - 16.06.2021 09:00;30982;4519;0;100;5602;4977;105;1804;1744
16.06.2021 09:00 - 16.06.2021 10:00;32144;3702;75;96.16;5439;4974;106;3439;1761
16.06.2021 10:00 - 16.06.2021 11:00;32805;2765;0;93.35;5019;4974;103;4646;2259
16.06.2021 11:00 - 16.06.2021 12:00;33276;2906;0;92.69;4209;4971;101;6098;2874
16.06.2021 12:00 - 16.06.2021 13:00;33788;2490;148;92.2;4064;4968;105;6977;3735
16.06.2021 13:00 - 16.06.2021 14:00;34052;2443;446;89.99;3169;4967;108;8075;4190
16.06.2021 14:00 - 16.06.2021 15:00;33814;2561;608;89.21;2908;4966;109;8452;4217
16.06.2021 15:00 - 16.06.2021 16:00;33142;2412;1043;82.58;2816;4964;107;8302;4539
16.06.2021 16:00 - 16.06.2021 17:00;32967;2159;1261;85.5;2396;4962;106;8152;5421
16.06.2021 17:00 - 16.06.2021 18:00;32699;356;74;92.64;3015;4964;108;7329;5936
16.06.2021 18:00 - 16.06.2021 19:00;31884;744;869;95.65;3251;4967;111;6507;6321
16.06.2021 19:00 - 16.06.2021 20:00;31428;724;2058;98.91;4161;4968;111;4849;6663
16.06.2021 20:00 - 16.06.2021 21:00;31200;1189;83;105.51;4364;4967;108;2562;7093
16.06.2021 21:00 - 16.06.2021 22:00;30734;1014;0;100.84;4781;4966;106;928;7055
16.06.2021 22:00 - 16.06.2021 23:00;29998;1023;92;100;4565;4968;104;474;6167
16.06.2021 23:00 - 17.06.2021 00:00;27671;2244;638;95.65;3678;4970;103;389;5303
17.06.2021 00:00 - 17.06.2021 01:00;27046;2020;0;97.92;2898;4972;98;342;5488
17.06.2021 01:00 - 17.06.2021 02:00;25700;1620;0;95.92;2771;4978;94;335;4500
17.06.2021 02:00 - 17.06.2021 03:00;24666;1420;100;95.4;3134;4974;97;315;3682
17.06.2021 03:00 - 17.06.2021 04:00;24172;1482;99;93.41;3102;4971;96;198;2961
17.06.2021 04:00 - 17.06.2021 05:00;23978;1657;103;93.1;2564;4966;95;136;2862
17.06.2021 05:00 - 17.06.2021 06:00;24406;2008;0;92.88;2512;4960;95;76;2952
17.06.2021 06:00 - 17.06.2021 07:00;26084;2317;1988;92.88;3262;4959;96;115;3063
17.06.2021 07:00 - 17.06.2021 08:00;28420;3004;2109;94.08;3774;4961;97;293;3496
17.06.2021 08:00 - 17.06.2021 09:00;30353;3745;2065;99;4892;4963;100;944;2810
17.06.2021 09:00 - 17.06.2021 10:00;31414;2832;2115;96.77;6101;4966;104;1957;2138
17.06.2021 10:00 - 17.06.2021 11:00;31857;2168;2271;95.4;6125;4967;108;3595;2248
17.06.2021 11:00 - 17.06.2021 12:00;32263;2050;1902;93.35;5480;4966;105;4655;2635
17.06.2021 12:00 - 17.06.2021 13:00;32674;2301;550;92.72;4581;4966;106;5130;3219
17.06.2021 13:00 - 17.06.2021 14:00;32564;1960;452;89.67;4228;4972;106;5220;4030
17.06.2021 14:00 - 17.06.2021 15:00;31768;2045;1008;87.29;3226;4975;105;5316;5189
17.06.2021 15:00 - 17.06.2021 16:00;31110;1656;1176;83.43;2538;4976;107;5301;6268
17.06.2021 16:00 - 17.06.2021 17:00;30589;2163;1179;76.29;2465;4976;107;5077;5911
17.06.2021 17:00 - 17.06.2021 18:00;30445;416;1602;84.77;2711;4981;114;5267;5754
17.06.2021 18:00 - 17.06.2021 19:00;30027;435;2625;92.95;3084;4984;116;4702;5588
17.06.2021 19:00 - 17.06.2021 20:00;29874;1324;2396;95.92;4175;4982;117;3258;4999
17.06.2021 20:00 - 17.06.2021 21:00;30014;2018;2157;102.37;5530;4980;116;1437;4311
17.06.2021 21:00 - 17.06.2021 22:00;29893;2199;1448;98.91;5691;4979;115;359;3803
17.06.2021 22:00 - 17.06.2021 23:00;29384;2379;1605;94.86;5447;4980;115;120;3744
17.06.2021 23:00 - 18.06.2021 00:00;27133;2451;1035;92.63;4024;4981;115;75;3700
18.06.2021 00:00 - 18.06.2021 01:00;26258;2393;0;93.35;3713;4982;108;47;3601
18.06.2021 01:00 - 18.06.2021 02:00;24968;1983;0;90.56;3246;4984;105;35;3594
18.06.2021 02:00 - 18.06.2021 03:00;23932;1862;0;89.15;2542;4985;103;15;3743
18.06.2021 03:00 - 18.06.2021 04:00;23494;2041;0;89.03;2574;4987;105;14;3580
18.06.2021 04:00 - 18.06.2021 05:00;23291;1932;0;88.62;2553;4996;104;13;3353
18.06.2021 05:00 - 18.06.2021 06:00;23795;2063;0;89.64;2647;5000;106;15;3178
18.06.2021 06:00 - 18.06.2021 07:00;25596;2639;1117;91.42;3038;5000;107;121;3262
18.06.2021 07:00 - 18.06.2021 08:00;28089;3073;2232;97.05;4470;5000;106;543;3316
18.06.2021 08:00 - 18.06.2021 09:00;29917;2604;1598;100.02;5346;5005;107;1769;3277
18.06.2021 09:00 - 18.06.2021 10:00;30885;2448;1286;96.88;5220;5004;103;2994;3196
18.06.2021 10:00 - 18.06.2021 11:00;31402;2455;458;95.99;4774;5000;103;4188;3476
18.06.2021 11:00 - 18.06.2021 12:00;31728;2248;0;94.4;3892;4998;103;5470;3853
18.06.2021 12:00 - 18.06.2021 13:00;32251;2431;0;95.88;3251;4996;110;6131;4501
18.06.2021 13:00 - 18.06.2021 14:00;32295;2391;190;94.07;3079;4996;111;6649;4914
18.06.2021 14:00 - 18.06.2021 15:00;31894;2406;666;92.21;2765;4999;109;6420;5527
18.06.2021 15:00 - 18.06.2021 16:00;30858;2466;1322;87.23;2818;4996;108;5913;6144
18.06.2021 16:00 - 18.06.2021 17:00;30315;2181;1521;86;2180;4996;108;5894;6988
18.06.2021 17:00 - 18.06.2021 18:00;29987;2198;1625;88.77;1978;4996;106;5054;7687
18.06.2021 18:00 - 18.06.2021 19:00;29400;616;2435;91.1;2221;4994;105;4181;7904
18.06.2021 19:00 - 18.06.2021 20:00;29405;521;2128;97;2950;4994;108;3394;7695
18.06.2021 20:00 - 18.06.2021 21:00;29172;1065;1870;96.91;3318;4995;111;1656;7715
18.06.2021 21:00 - 18.06.2021 22:00;28947;2651;460;94.07;3542;4995;110;545;6684
18.06.2021 22:00 - 18.06.2021 23:00;28588;3047;135;93.56;3632;4996;111;194;5766
18.06.2021 23:00 - 19.06.2021 00:00;26671;2920;152;91.27;2632;4999;110;150;4990
19.06.2021 00:00 - 19.06.2021 01:00;26161;3046;200;93.35;3520;4997;103;126;3864
19.06.2021 01:00 - 19.06.2021 02:00;24754;2846;577;93.12;3816;4998;103;124;2935
19.06.2021 02:00 - 19.06.2021 03:00;23597;2838;522;92.7;3284;4998;104;103;2449
19.06.2021 03:00 - 19.06.2021 04:00;22891;2976;310;92.19;3286;4992;105;54;2150
19.06.2021 04:00 - 19.06.2021 05:00;22527;2804;272;92.19;3196;4982;105;36;2046
19.06.2021 05:00 - 19.06.2021 06:00;22264;2847;31;91.09;2933;4983;103;21;2243
19.06.2021 06:00 - 19.06.2021 07:00;22473;2676;899;89.09;2911;4984;103;111;2207
19.06.2021 07:00 - 19.06.2021 08:00;23023;2811;2395;89.64;3032;4985;99;306;2138
19.06.2021 08:00 - 19.06.2021 09:00;24553;2980;1396;92.53;3314;4985;101;1287;1953
19.06.2021 09:00 - 19.06.2021 10:00;26500;3063;159;92.7;3825;4984;104;2621;1766
19.06.2021 10:00 - 19.06.2021 11:00;27888;2965;419;92.03;4304;4982;102;3846;1798
19.06.2021 11:00 - 19.06.2021 12:00;28147;2857;456;89.6;3867;4982;102;4858;2148
19.06.2021 12:00 - 19.06.2021 13:00;28226;2990;571;88.24;3308;4982;102;5528;2388
19.06.2021 13:00 - 19.06.2021 14:00;28369;3189;448;86.83;2576;4985;101;6140;2881
19.06.2021 14:00 - 19.06.2021 15:00;27961;3027;972;79;2432;4984;102;6306;3495
19.06.2021 15:00 - 19.06.2021 16:00;26638;3086;1665;66.9;2452;4984;102;6180;4179
19.06.2021 16:00 - 19.06.2021 17:00;25783;1956;1334;65.99;2512;4978;104;6164;5083
19.06.2021 17:00 - 19.06.2021 18:00;25643;542;1199;73;2341;4978;105;5785;5686
19.06.2021 18:00 - 19.06.2021 19:00;25521;0;609;81;2557;4978;102;5170;6291
19.06.2021 19:00 - 19.06.2021 20:00;25871;616;1410;89;2586;4981;103;4244;6602
19.06.2021 20:00 - 19.06.2021 21:00;26310;1769;0;92.75;2846;4981;104;2571;7156
19.06.2021 21:00 - 19.06.2021 22:00;26782;2927;280;92.19;3259;4979;102;832;7149
19.06.2021 22:00 - 19.06.2021 23:00;26597;3002;462;91.25;3055;4977;103;320;7426
19.06.2021 23:00 - 20.06.2021 00:00;25115;3209;1061;87;2862;4971;103;295;7356
20.06.2021 00:00 - 20.06.2021 01:00;23702;2881;1202;80.95;3309;4972;98;290;7485
20.06.2021 01:00 - 20.06.2021 02:00;22281;3033;1352;66.8;3630;4973;99;232;7647
20.06.2021 02:00 - 20.06.2021 03:00;21267;3029;1869;65.74;3699;4973;101;171;6954
20.06.2021 03:00 - 20.06.2021 04:00;20655;2779;1672;62.1;3352;4976;99;143;7092
20.06.2021 04:00 - 20.06.2021 05:00;20295;2669;1489;62;3549;4982;98;64;7463
20.06.2021 05:00 - 20.06.2021 06:00;20169;2747;1453;59.97;3813;4980;98;56;8013
20.06.2021 06:00 - 20.06.2021 07:00;20077;2793;1674;58;4226;4985;96;150;8364
20.06.2021 07:00 - 20.06.2021 08:00;19984;2835;3177;54.58;4443;4987;99;437;8361
20.06.2021 08:00 - 20.06.2021 09:00;21181;2724;3009;55;4676;4988;98;1642;8745
20.06.2021 09:00 - 20.06.2021 10:00;22779;2134;2255;55;5065;4989;97;3203;9147
20.06.2021 10:00 - 20.06.2021 11:00;24157;1601;2340;50.2;4504;4990;98;4575;9885
20.06.2021 11:00 - 20.06.2021 12:00;24927;785;2308;45.63;4188;4990;95;5914;11092
20.06.2021 12:00 - 20.06.2021 13:00;25253;1055;2600;39.85;4749;4993;93;6187;12148
20.06.2021 13:00 - 20.06.2021 14:00;25742;1474;2578;27.2;4721;4994;93;6364;12479
20.06.2021 14:00 - 20.06.2021 15:00;25615;1088;2465;23.72;4957;4992;95;6171;12303
20.06.2021 15:00 - 20.06.2021 16:00;24234;0;2083;26.99;4997;4990;95;6144;12625
20.06.2021 16:00 - 20.06.2021 17:00;23271;0;2006;8;5169;4988;97;6001;12399
20.06.2021 17:00 - 20.06.2021 18:00;23403;0;1537;3.84;5249;4989;93;5599;12381
20.06.2021 18:00 - 20.06.2021 19:00;23863;0;1695;21.4;4834;4989;93;5142;12684
20.06.2021 19:00 - 20.06.2021 20:00;24470;0;1512;62.1;4807;4989;95;4166;12480
20.06.2021 20:00 - 20.06.2021 21:00;25075;0;726;79.24;4753;4984;95;2100;11949
20.06.2021 21:00 - 20.06.2021 22:00;26177;0;569;85.79;4227;4986;94;710;10979
20.06.2021 22:00 - 20.06.2021 23:00;26857;1206;446;88.13;4274;4986;94;278;10608
20.06.2021 23:00 - 21.06.2021 00:00;25107;1295;993;81;3370;4987;94;219;10165
21.06.2021 00:00 - 21.06.2021 01:00;23698;1644;1043;65.99;2843;4986;91;161;9600
21.06.2021 01:00 - 21.06.2021 02:00;22380;2948;1898;62.96;3335;4984;91;141;8860
21.06.2021 02:00 - 21.06.2021 03:00;21584;2669;1856;62.49;3323;4990;93;141;8621
21.06.2021 03:00 - 21.06.2021 04:00;21270;2764;1920;62.59;3087;4992;93;141;8701
21.06.2021 04:00 - 21.06.2021 05:00;21207;2832;1903;63.88;3008;4997;89;141;8407
21.06.2021 05:00 - 21.06.2021 06:00;21914;2825;1729;65.99;2683;5001;91;139;7579
21.06.2021 06:00 - 21.06.2021 07:00;24142;2061;2070;85.95;2386;5002;92;197;6997
21.06.2021 07:00 - 21.06.2021 08:00;26632;2597;2351;88.94;3008;4954;94;770;6548
21.06.2021 08:00 - 21.06.2021 09:00;28639;2132;2066;92;3998;4863;96;2596;6263
21.06.2021 09:00 - 21.06.2021 10:00;29631;1421;0;90;3853;4772;91;4499;6501
21.06.2021 10:00 - 21.06.2021 11:00;30103;1593;10;88.03;2846;4690;94;6076;6728
21.06.2021 11:00 - 21.06.2021 12:00;30648;2105;201;87.9;2710;4672;98;6941;6582
21.06.2021 12:00 - 21.06.2021 13:00;31240;2213;727;89.21;2828;4639;99;7585;6159
21.06.2021 13:00 - 21.06.2021 14:00;31543;2131;832;89.21;2838;4623;102;8325;6134
21.06.2021 14:00 - 21.06.2021 15:00;31260;2089;1306;88.24;2774;4264;103;8555;6585
21.06.2021 15:00 - 21.06.2021 16:00;30387;2181;1952;80;2715;4007;105;8510;7000
21.06.2021 16:00 - 21.06.2021 17:00;30259;2053;1587;80;2247;4010;107;8114;7543
21.06.2021 17:00 - 21.06.2021 18:00;30303;1387;912;82.94;2158;4009;109;7348;8031
21.06.2021 18:00 - 21.06.2021 19:00;29932;199;326;88.97;2704;4008;109;6454;8300
21.06.2021 19:00 - 21.06.2021 20:00;29502;1138;1588;93.79;3362;4009;109;4681;8182
21.06.2021 20:00 - 21.06.2021 21:00;29336;1712;0;94.07;4327;4010;112;2531;7777
21.06.2021 21:00 - 21.06.2021 22:00;29220;3855;0;93.79;4973;4011;112;794;6213
21.06.2021 22:00 - 21.06.2021 23:00;28713;4057;0;93.83;5034;4012;112;353;5587
21.06.2021 23:00 - 22.06.2021 00:00;26672;3432;0;90.47;3653;4013;113;335;5620
22.06.2021 00:00 - 22.06.2021 01:00;25813;2875;0;93.04;3688;4014;104;333;5109
22.06.2021 01:00 - 22.06.2021 02:00;24583;2602;0;89.7;2868;4015;105;364;4967
22.06.2021 02:00 - 22.06.2021 03:00;23629;2375;0;87.2;2348;4017;101;310;4771
22.06.2021 03:00 - 22.06.2021 04:00;23034;2460;0;87.2;2300;4017;101;274;4595
22.06.2021 04:00 - 22.06.2021 05:00;22864;2257;0;83.85;2438;4018;104;264;4419
22.06.2021 05:00 - 22.06.2021 06:00;23254;2598;0;86.9;2671;4019;102;257;4036
22.06.2021 06:00 - 22.06.2021 07:00;25234;3264;0;90.01;3868;4018;103;255;3739
22.06.2021 07:00 - 22.06.2021 08:00;27531;4058;0;93.76;5240;4019;106;827;3266
22.06.2021 08:00 - 22.06.2021 09:00;29335;2954;0;96;6219;4019;110;3047;2798
22.06.2021 09:00 - 22.06.2021 10:00;30292;2723;0;93.65;4895;4017;107;5680;2655
22.06.2021 10:00 - 22.06.2021 11:00;30701;2599;0;90.97;3825;4017;107;7784;2629
22.06.2021 11:00 - 22.06.2021 12:00;31310;2544;18;90.15;3384;4015;105;9021;2723
22.06.2021 12:00 - 22.06.2021 13:00;31766;2998;393;90.28;3595;4016;107;9147;2661
22.06.2021 13:00 - 22.06.2021 14:00;31746;2903;416;90.28;3708;4015;110;8622;3014
22.06.2021 14:00 - 22.06.2021 15:00;31343;2455;325;89.7;3477;4013;110;8424;3518
22.06.2021 15:00 - 22.06.2021 16:00;30308;2309;688;86.9;2881;4012;113;8096;4090
22.06.2021 16:00 - 22.06.2021 17:00;30092;1176;418;82.41;2747;4011;114;7854;4993
22.06.2021 17:00 - 22.06.2021 18:00;29986;147;0;89.95;3351;4010;112;6987;6281
22.06.2021 18:00 - 22.06.2021 19:00;29499;832;0;89.7;2947;4010;116;6316;6614
22.06.2021 19:00 - 22.06.2021 20:00;29209;1091;0;93.35;3421;4010;114;4963;7421
22.06.2021 20:00 - 22.06.2021 21:00;29387;837;0;90.28;3895;4011;114;2620;8269
22.06.2021 21:00 - 22.06.2021 22:00;29399;2351;0;89.7;3947;4013;116;998;8420
22.06.2021 22:00 - 22.06.2021 23:00;28933;1939;0;90.68;4177;4014;115;574;8422
22.06.2021 23:00 - 23.06.2021 00:00;26748;2335;256;82.94;3104;4015;112;550;7747
23.06.2021 00:00 - 23.06.2021 01:00;26054;2254;0;89.7;2956;4016;106;485;7086
23.06.2021 01:00 - 23.06.2021 02:00;24835;2342;0;87.01;2823;4017;101;436;6605
23.06.2021 02:00 - 23.06.2021 03:00;23852;2032;50;81.32;3100;4018;100;404;6006
23.06.2021 03:00 - 23.06.2021 04:00;23417;2163;0;82;2961;4018;100;381;6004
23.06.2021 04:00 - 23.06.2021 05:00;23189;2310;0;83;2655;4019;100;329;6438
23.06.2021 05:00 - 23.06.2021 06:00;23561;2512;0;86.9;2790;4020;99;283;6686
23.06.2021 06:00 - 23.06.2021 07:00;25376;3119;0;90.28;2807;4020;104;285;6686
23.06.2021 07:00 - 23.06.2021 08:00;27437;2235;0;92.08;3749;4020;104;616;6672
23.06.2021 08:00 - 23.06.2021 09:00;28872;2199;0;95;4055;4019;105;2640;6297
23.06.2021 09:00 - 23.06.2021 10:00;29677;1005;0;94.74;3739;4019;108;5992;5981
23.06.2021 10:00 - 23.06.2021 11:00;30346;213;0;93.35;3381;4018;110;8221;5556
23.06.2021 11:00 - 23.06.2021 12:00;30612;0;140;92.08;3119;4017;113;9241;5075
23.06.2021 12:00 - 23.06.2021 13:00;31151;0;443;91.13;3782;4042;112;9634;4522
23.06.2021 13:00 - 23.06.2021 14:00;31350;648;946;90.76;3908;4110;108;9590;4129
23.06.2021 14:00 - 23.06.2021 15:00;30773;1365;1026;90.28;3154;4118;110;9502;4073
23.06.2021 15:00 - 23.06.2021 16:00;29670;1536;1311;89.7;2544;4119;111;9499;4256
23.06.2021 16:00 - 23.06.2021 17:00;29209;1578;1427;87.35;2514;4119;112;9372;4492
23.06.2021 17:00 - 23.06.2021 18:00;29096;0;1251;90.96;3241;4152;111;8884;5024
