Time (CET);Demand;Imports;Exports;Price;Hydro;Nuclear;Other renewable;Solar;Wind
06.03.2021 20:00 - 06.03.2021 21:00;29900;3828;0;54.97;7427;7115;109;134;5832
06.03.2021 21:00 - 06.03.2021 22:00;29884;3774;0;52.88;7430;7116;107;83;5815
06.03.2021 22:00 - 06.03.2021 23:00;28175;3322;798;49.68;7257;7114;106;58;5345
06.03.2021 23:00 - 07.03.2021 00:00;25703;1885;890;46.22;6855;7110;107;54;4880
07.03.2021 00:00 - 07.03.2021 01:00;23546;909;431;45.25;6431;7113;105;17;4421
07.03.2021 01:00 - 07.03.2021 02:00;21899;69;422;43.38;6245;7112;105;17;4137
07.03.2021 02:00 - 07.03.2021 03:00;20822;747;441;43.34;5854;7112;103;17;3883
07.03.2021 03:00 - 07.03.2021 04:00;20296;764;450;43.44;5464;7114;100;17;3716
07.03.2021 04:00 - 07.03.2021 05:00;19933;942;640;42.13;5570;7114;102;17;3415
07.03.2021 05:00 - 07.03.2021 06:00;20029;1219;1041;43.85;5817;7113;105;15;2996
07.03.2021 06:00 - 07.03.2021 07:00;20466;1196;699;45.24;5905;7113;104;15;2769
07.03.2021 07:00 - 07.03.2021 08:00;20875;919;450;44.48;6161;7114;106;21;2690
07.03.2021 08:00 - 07.03.2021 09:00;21719;596;174;46;5665;7116;103;369;2503
07.03.2021 09:00 - 07.03.2021 10:00;24106;1070;0;47.32;6191;7116;105;1520;2089
07.03.2021 10:00 - 07.03.2021 11:00;26253;2244;179;45.25;6432;7116;105;2836;1864
07.03.2021 11:00 - 07.03.2021 12:00;27215;2713;381;45.45;5778;7116;105;4167;1738
07.03.2021 12:00 - 07.03.2021 13:00;27184;3147;414;45.01;5381;7115;106;5093;1632
07.03.2021 13:00 - 07.03.2021 14:00;27794;3481;336;45.8;5388;7115;104;5029;1562
07.03.2021 14:00 - 07.03.2021 15:00;27627;3273;97;43.49;5323;7115;104;4853;1587
07.03.2021 15:00 - 07.03.2021 16:00;26092;3150;99;40;5748;7115;103;4449;1865
07.03.2021 16:00 - 07.03.2021 17:00;25074;2557;397;42.4;6308;7115;99;3708;2056
07.03.2021 17:00 - 07.03.2021 18:00;24715;1520;0;47.67;5894;7116;102;2749;2355
07.03.2021 18:00 - 07.03.2021 19:00;25559;2387;0;55.84;7392;7114;102;1077;2785
07.03.2021 19:00 - 07.03.2021 20:00;28012;2602;0;60.91;8328;7113;100;236;3473
07.03.2021 20:00 - 07.03.2021 21:00;29771;5035;0;56.77;7344;7114;102;130;3924
07.03.2021 21:00 - 07.03.2021 22:00;29711;4449;0;54.27;7930;7114;97;74;4180
07.03.2021 22:00 - 07.03.2021 23:00;28198;3693;0;53;7254;7115;96;74;4249
07.03.2021 23:00 - 08.03.2021 00:00;25724;2231;449;48.99;6310;7114;99;73;4332
08.03.2021 00:00 - 08.03.2021 01:00;23558;1758;780;47.3;5065;7114;99;53;4161
08.03.2021 01:00 - 08.03.2021 02:00;21979;547;888;45.5;5518;7114;99;26;4339
08.03.2021 02:00 - 08.03.2021 03:00;21049;0;523;44.48;5657;7114;97;26;4794
08.03.2021 03:00 - 08.03.2021 04:00;20749;0;651;43.02;5401;7115;96;26;5300
08.03.2021 04:00 - 08.03.2021 05:00;20827;0;604;45;5432;7116;95;26;5816
08.03.2021 05:00 - 08.03.2021 06:00;21905;137;0;50.06;5316;7116;96;25;6184
08.03.2021 06:00 - 08.03.2021 07:00;25079;0;348;42.51;7377;7115;98;23;6417
08.03.2021 07:00 - 08.03.2021 08:00;29112;1157;0;58.02;8521;7115;98;33;6216
