"Time (CET),""Day-ahead Total Load Forecast [MW] - BZN|ES"",""Actual Total Load [MW] - BZN|ES"""
"06.03.2021 03:00 - 06.03.2021 04:00,""22285"",""22056"""
"06.03.2021 04:00 - 06.03.2021 05:00,""21961"",""21873"""
"06.03.2021 05:00 - 06.03.2021 06:00,""21960"",""21809"""
"06.03.2021 06:00 - 06.03.2021 07:00,""22664"",""22363"""
"06.03.2021 07:00 - 06.03.2021 08:00,""23753"",""23225"""
"06.03.2021 08:00 - 06.03.2021 09:00,""25297"",""24967"""
"06.03.2021 09:00 - 06.03.2021 10:00,""27807"",""27449"""
"06.03.2021 10:00 - 06.03.2021 11:00,""29459"",""28775"""
"06.03.2021 11:00 - 06.03.2021 12:00,""29832"",""28918"""
"06.03.2021 12:00 - 06.03.2021 13:00,""29749"",""28798"""
"06.03.2021 13:00 - 06.03.2021 14:00,""29692"",""28929"""
"06.03.2021 14:00 - 06.03.2021 15:00,""28979"",""28543"""
"06.03.2021 15:00 - 06.03.2021 16:00,""27604"",""27166"""
"06.03.2021 16:00 - 06.03.2021 17:00,""26531"",""26298"""
"06.03.2021 17:00 - 06.03.2021 18:00,""26051"",""25822"""
"06.03.2021 18:00 - 06.03.2021 19:00,""26425"",""26388"""
"06.03.2021 19:00 - 06.03.2021 20:00,""28514"",""28434"""
"06.03.2021 20:00 - 06.03.2021 21:00,""30060"",""29900"""
"06.03.2021 21:00 - 06.03.2021 22:00,""29900"",""29884"""
"06.03.2021 22:00 - 06.03.2021 23:00,""28310"",""28175"""
"06.03.2021 23:00 - 07.03.2021 00:00,""25960"",""25703"""
"07.03.2021 00:00 - 07.03.2021 01:00,""23789"",""23546"""
"07.03.2021 01:00 - 07.03.2021 02:00,""22054"",""21899"""
"07.03.2021 02:00 - 07.03.2021 03:00,""20987"",""20822"""
"07.03.2021 03:00 - 07.03.2021 04:00,""20406"",""20296"""
"07.03.2021 04:00 - 07.03.2021 05:00,""20116"",""19933"""
"07.03.2021 05:00 - 07.03.2021 06:00,""20221"",""20029"""
"07.03.2021 06:00 - 07.03.2021 07:00,""20682"",""20466"""
"07.03.2021 07:00 - 07.03.2021 08:00,""21126"",""20875"""
"07.03.2021 08:00 - 07.03.2021 09:00,""21940"",""21719"""
"07.03.2021 09:00 - 07.03.2021 10:00,""24230"",""24106"""
"07.03.2021 10:00 - 07.03.2021 11:00,""26218"",""26253"""
"07.03.2021 11:00 - 07.03.2021 12:00,""27042"",""27215"""
"07.03.2021 12:00 - 07.03.2021 13:00,""27283"",""27184"""
"07.03.2021 13:00 - 07.03.2021 14:00,""27668"",""27794"""
"07.03.2021 14:00 - 07.03.2021 15:00,""27489"",""27627"""
"07.03.2021 15:00 - 07.03.2021 16:00,""25974"",""26092"""
"07.03.2021 16:00 - 07.03.2021 17:00,""24975"",""25074"""
"07.03.2021 17:00 - 07.03.2021 18:00,""24681"",""24715"""
"07.03.2021 18:00 - 07.03.2021 19:00,""25564"",""25559"""
"07.03.2021 19:00 - 07.03.2021 20:00,""27852"",""28012"""
"07.03.2021 20:00 - 07.03.2021 21:00,""29771"",""29771"""
"07.03.2021 21:00 - 07.03.2021 22:00,""29642"",""29711"""
