"MTU (CET),""Day-ahead Price [EUR/MWh]"",""BZN|ES"""
"07.03.2021 03:00 - 07.03.2021 04:00,""43.44"""
"07.03.2021 04:00 - 07.03.2021 05:00,""42.13"""
"07.03.2021 05:00 - 07.03.2021 06:00,""43.85"""
"07.03.2021 06:00 - 07.03.2021 07:00,""45.24"""
"07.03.2021 07:00 - 07.03.2021 08:00,""44.48"""
"07.03.2021 08:00 - 07.03.2021 09:00,""46.00"""
"07.03.2021 09:00 - 07.03.2021 10:00,""47.32"""
"07.03.2021 10:00 - 07.03.2021 11:00,""45.25"""
"07.03.2021 11:00 - 07.03.2021 12:00,""45.45"""
"07.03.2021 12:00 - 07.03.2021 13:00,""45.01"""
"07.03.2021 13:00 - 07.03.2021 14:00,""45.80"""
"07.03.2021 14:00 - 07.03.2021 15:00,""43.49"""
"07.03.2021 15:00 - 07.03.2021 16:00,""40.00"""
"07.03.2021 16:00 - 07.03.2021 17:00,""42.40"""
"07.03.2021 17:00 - 07.03.2021 18:00,""47.67"""
"07.03.2021 18:00 - 07.03.2021 19:00,""55.84"""
"07.03.2021 19:00 - 07.03.2021 20:00,""60.91"""
"07.03.2021 20:00 - 07.03.2021 21:00,""56.77"""
"07.03.2021 21:00 - 07.03.2021 22:00,""54.27"""
"07.03.2021 22:00 - 07.03.2021 23:00,""53.00"""
"07.03.2021 23:00 - 08.03.2021 00:00,""48.99"""
"08.03.2021 00:00 - 08.03.2021 01:00,""47.30"""
"08.03.2021 01:00 - 08.03.2021 02:00,""45.50"""
"08.03.2021 02:00 - 08.03.2021 03:00,""44.48"""
"08.03.2021 03:00 - 08.03.2021 04:00,""43.02"""
"08.03.2021 04:00 - 08.03.2021 05:00,""45.00"""
"08.03.2021 05:00 - 08.03.2021 06:00,""50.06"""
"08.03.2021 06:00 - 08.03.2021 07:00,""42.51"""
"08.03.2021 07:00 - 08.03.2021 08:00,""58.02"""
"08.03.2021 08:00 - 08.03.2021 09:00,""59.49"""
"08.03.2021 09:00 - 08.03.2021 10:00,""61.37"""
"08.03.2021 10:00 - 08.03.2021 11:00,""59.34"""
